101 N
103 N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
119 N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y N
119 Y Y
119 Y Y
120 N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y N
120 Y Y
120 Y Y
120 Y Y
120 Y Y
120 Y Y
120 Y Y
123 N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
123 Y N
127 N
127 N
127 N
127 N
127 N
127 N
127 N
127 N
127 N
127 N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
127 Y N
103 Y N
127 Y N
127 Y N
127 Y N
127 Y N
